trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-158.50765608869926,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",20,0,-127.54167999923,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9047516632199635}",25,0,-92.58310112498675,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-144.48353956424594,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.8960524975255253}",25,0,-8.987709516651938,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.8915682881953289}",20,0,-125.86851597321585,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,0,-57.289654986064306,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101216}",25,0,-81.6609843432787,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,11,-24.861085531938922,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",20,0,-114.18997463125268,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",20,0,-122.61256494226525,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",25,0,-83.31090779947883,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",25,0,-156.7926052522666,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",30,0,-207.1956631913028,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-216.9271372383291,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",30,0,-84.29252062614896,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
